היו בודקין,סנהדרין,ה,מ.
נגמר הדין,סנהדרין,ו,מב:
ארבע מיתות,סנהדרין,ז,מט:
בן סורר ומורה,סנהדרין,ח,סח:
הנשרפין,סנהדרין,ט,עה.
חלק,סנהדרין,י,צ.
אלו הן הנחנקין,סנהדרין,יא,פד:
כיצד העדים,מכות,א,ב.
אלו הן הגולין,מכות,ב,ז.
ואלו הן הלוקין,מכות,ג,יג.
שבועות שתים,שבועות,א,ב.
ידיעות הטומאה,שבועות,ב,יד.
שבועות שתים,שבועות,ג,יט:
שבועת העדות,שבועות,ד,ל.
שבועת הפקדון,שבועות,ה,לו:
שבועת הדיינין,שבועות,ו,לח:
כל הנשבעין,שבועות,ז,מד:
ארבעה שומרין,שבועות,ח,מט.
לפני אידיהן,עבודה זרה,א,ב.
אין מעמידין,עבודה זרה,ב,כב.
כל הצלמים,עבודה זרה,ג,מ:
רבי ישמעאל,עבודה זרה,ד,מט:
השוכר את הפועל,עבודה זרה,ה,סב.
הורו בית דין,הוריות,א,ב.
הורה כהן משיח,הוריות,ב,ו:
כהן משיח,הוריות,ג,ט:
כל הזבחים,זבחים,א,ב.
כל הזבחים שקבלו דמן,זבחים,ב,טו:
כל הפסולין,זבחים,ג,לא:
בית שמאי,זבחים,ד,לו:
איזהו מקומן,זבחים,ה,מז.
קדשי קדשים,זבחים,ו,נח.
חטאת העוף,זבחים,ז,סו.
כל הזבחים,זבחים,ח,ע:
המזבח מקדש,זבחים,ט,פג.
כל התדיר,זבחים,י,פט.
דם חטאת,זבחים,יא,צב.
טבול יום,זבחים,יב,צח:
השוחט והמעלה,זבחים,יג,קו.
פרת חטאת,זבחים,יד,קיב.
כל המנחות,מנחות,א,ב.
הקומץ את המנחה,מנחות,בב,יג.
הקומץ רבה,מנחות,ג,יז.
התכלת,מנחות,ד,לח.
כל המנחות באות מצה,מנחות,ה,נב:
רבי ישמעאל,מנחות,ו,סג:
אלו מנחות נקמצות,מנחות,ז,עב:
התודה היתה באה,מנחות,ח,עו:
כל קרבנות הצבור,מנחות,ט,פג:
שתי מדות,מנחות,י,פז.
שתי הלחם,מנחות,יא,צד.
המנחות והנסכים,מנחות,יב,ק:
הרי עלי עשרון,מנחות,יג,קד:
הכל שוחטין,חולין,א,כז.
השוחט,חולין,ב,מב.
אלו טרפות,חולין,ג,מב.
בהמה המקשה,חולין,ד,סח.
אותו ואת בנו,חולין,ה,עח.
כסוי הדם,חולין,ו,פג:
גיד הנשה,חולין,ז,פט:
כל הבשר,חולין,ח,קג:
העור והרוטב,חולין,ט,קיז:
הזרוע והלחיים,חולין,י,קל.
ראשית הגז,חולין,יא,קלה.
שילוח הקן,חולין,יב,קלח:
הלוקח עובר חמורו,בכורות,א,ב.
הלוקח עובר פרתו,בכורות,ב,יג.
הלוקח בהמה,בכורות,ג,יט:
עד כמה,בכורות,ד,כו:
כל פסולי המוקדשין,בכורות,ה,לא.
על אלו מומין,בכורות,ו,לז.
מומין אלו,בכורות,זז,מג.
יש בכור,בכורות,ח,מו.
מעשר בהמה,בכורות,ט,נג.
הכל מעריכין,ערכין,א,ב.
אין נערכין,ערכין,ב,ז:
יש בערכין,ערכין,ג,יג:
השג יד,ערכין,ד,יז.
האומר משקלי עלי,ערכין,ה,יט.
שום היתומים,ערכין,ו,כא:
אין מקדישין,ערכין,ז,כד.
המקדיש שדהו,ערכין,ח,כז.
המוכר שדהו,ערכין,ט,כט:
הכל ממירין,תמורה,א,ב.
יש בקרבנות,תמורה,ב,יד.
אלו קדשים,תמורה,ג,יז:
ולד חטאת,תמורה,ד,כא:
כיצד מערימין,תמורה,ה,כד:
כל האסורין,תמורה,ו,כח.
יש בקדשי מזבח,תמורה,ז,לא.
שלשים ושש,כריתות,א,ב.
ארבעה מחוסרי כפרה,כריתות,ב,ח:
אמרו לו,כריתות,ג,יא:
ספק אכל חלב,כריתות,ד,יז.
דם שחיטה,כריתות,ה,כ:
המביא אשם,כריתות,ו,כג:
קדשי קדשים,מעילה,א,ב.
חטאת העוף,מעילה,ב,ח.
ולד חטאת,מעילה,ג,י:
קדשי מזבח,מעילה,ד,טו.
הנהנה מן ההקדש,מעילה,ה,יח.
השליח שעשה,מעילה,ו,כ.
בשלשה מקומות,תמיד,א,כה:
ראוהו אחיו,תמיד,ב,כח:
אמר להם הממונה,תמיד,ג,ל.
לא היו כופתין,תמיד,ד,ל:
אמר להם הממונה,תמיד,ה,לב:
החלו עולין,תמיד,ו,לג.
בזמן שכהן גדול,תמיד,ז,לג:
בשלשה מקומות,מדות,א,פרק בעל שם זהה בתמיד/א
הר הבית,מדות,ב,
המזבח,מדות,ג,
פתחו של היכל,מדות,ד,
כל העזרה,מדות,ה,
שמאי,נדה,א,ב.
כל היד,נדה,ב,יג.
המפלת חתיכה,נדה,ג,כא.
בנות כותים,נדה,ד,לא:
יוצא דופן,נדה,ה,מ.
בא סימן,נדה,ו,מח.
דם הנדה,נדה,ז,נד:
הרואה כתם,נדה,ח,נז:
האשה שהיא עושה,נדה,ט,נט:
תינוקת,נדה,י,סד:
